Closing Date,State Abbreviation
23-Apr-10,IL
23-Apr-10,IL
23-Apr-10,IL
23-Apr-10,IL
23-Apr-10,IL
16-Apr-10,WA
16-Apr-10,CA
16-Apr-10,CA
16-Apr-10,MA
16-Apr-10,FL
16-Apr-10,FL
16-Apr-10,FL
16-Apr-10,MI
09-Apr-10,SC
26-Mar-10,AZ
26-Mar-10,GA
26-Mar-10,FL
26-Mar-10,GA
19-Mar-10,MN
19-Mar-10,AL
19-Mar-10,GA
19-Mar-10,GA
19-Mar-10,UT
19-Mar-10,GA
19-Mar-10,OH
12-Mar-10,LA
12-Mar-10,FL
12-Mar-10,NY
11-Mar-10,NY
05-Mar-10,UT
05-Mar-10,MD
05-Mar-10,IL
05-Mar-10,FL
26-Feb-10,WA
26-Feb-10,NV
19-Feb-10,CA
19-Feb-10,IL
19-Feb-10,TX
19-Feb-10,FL
05-Feb-10,MN
29-Jan-10,WA
29-Jan-10,CA
29-Jan-10,GA
29-Jan-10,MN
29-Jan-10,FL
29-Jan-10,GA
22-Jan-10,OR
22-Jan-10,WA
22-Jan-10,NM
22-Jan-10,MO
22-Jan-10,FL
15-Jan-10,UT
15-Jan-10,MN
15-Jan-10,IL
08-Jan-10,WA
18-Dec-09,CA
18-Dec-09,CA
18-Dec-09,IL
18-Dec-09,AL
18-Dec-09,MI
18-Dec-09,FL
18-Dec-09,GA
11-Dec-09,KS
11-Dec-09,AZ
11-Dec-09,FL
04-Dec-09,VA
04-Dec-09,IL
04-Dec-09,OH
04-Dec-09,GA
04-Dec-09,GA
04-Dec-09,GA
20-Nov-09,FL
13-Nov-09,CA
13-Nov-09,FL
13-Nov-09,FL
06-Nov-09,CA
06-Nov-09,MO
06-Nov-09,MN
06-Nov-09,MI
06-Nov-09,GA
30-Oct-09,TX
30-Oct-09,TX
30-Oct-09,TX
30-Oct-09,IL
30-Oct-09,CA
30-Oct-09,CA
30-Oct-09,CA
30-Oct-09,IL
30-Oct-09,AZ
23-Oct-09,IL
23-Oct-09,MN
23-Oct-09,WI
23-Oct-09,FL
23-Oct-09,FL
23-Oct-09,GA
23-Oct-09,FL
16-Oct-09,CA
02-Oct-09,CO
02-Oct-09,MN
02-Oct-09,MI
25-Sep-09,GA
18-Sep-09,KY
18-Sep-09,IN
11-Sep-09,WA
11-Sep-09,MN
11-Sep-09,IL
04-Sep-09,AZ
04-Sep-09,IL
04-Sep-09,IA
04-Sep-09,IL
04-Sep-09,MO
28-Aug-09,CA
28-Aug-09,MN
28-Aug-09,MD
21-Aug-09,TX
21-Aug-09,AL
21-Aug-09,GA
21-Aug-09,GA
14-Aug-09,NV
14-Aug-09,AZ
14-Aug-09,AZ
14-Aug-09,AL
14-Aug-09,PA
07-Aug-09,OR
07-Aug-09,FL
07-Aug-09,FL
31-Jul-09,IL
31-Jul-09,NJ
31-Jul-09,OH
31-Jul-09,FL
31-Jul-09,OK
24-Jul-09,GA
24-Jul-09,GA
24-Jul-09,GA
24-Jul-09,GA
24-Jul-09,GA
24-Jul-09,GA
24-Jul-09,NY
17-Jul-09,CA
17-Jul-09,CA
17-Jul-09,SD
17-Jul-09,GA
10-Jul-09,WY
02-Jul-09,IL
02-Jul-09,TX
02-Jul-09,IL
02-Jul-09,IL
02-Jul-09,IL
02-Jul-09,IL
02-Jul-09,IL
26-Jun-09,CA
26-Jun-09,CA
26-Jun-09,MN
26-Jun-09,GA
26-Jun-09,GA
19-Jun-09,KS
19-Jun-09,NC
19-Jun-09,GA
05-Jun-09,IL
22-May-09,IL
22-May-09,IL
21-May-09,FL
08-May-09,WA
01-May-09,UT
01-May-09,NJ
01-May-09,GA
24-Apr-09,ID
24-Apr-09,CA
24-Apr-09,MI
24-Apr-09,GA
17-Apr-09,NV
17-Apr-09,MO
10-Apr-09,CO
10-Apr-09,NC
27-Mar-09,GA
20-Mar-09,KS
20-Mar-09,CO
20-Mar-09,GA
06-Mar-09,GA
27-Feb-09,NV
27-Feb-09,IL
20-Feb-09,OR
13-Feb-09,OR
13-Feb-09,IL
13-Feb-09,FL
13-Feb-09,NE
06-Feb-09,CA
06-Feb-09,CA
06-Feb-09,GA
30-Jan-09,FL
30-Jan-09,MD
30-Jan-09,UT
23-Jan-09,CA
16-Jan-09,WA
16-Jan-09,IL
12-Dec-08,TX
12-Dec-08,GA
05-Dec-08,GA
21-Nov-08,CA
21-Nov-08,CA
21-Nov-08,GA
07-Nov-08,CA
07-Nov-08,TX
31-Oct-08,FL
24-Oct-08,GA
10-Oct-08,IL
10-Oct-08,MI
25-Sep-08,NV
19-Sep-08,WV
05-Sep-08,NV
29-Aug-08,GA
22-Aug-08,KS
01-Aug-08,FL
25-Jul-08,CA
25-Jul-08,NV
11-Jul-08,CA
30-May-08,MN
09-May-08,AR
07-Mar-08,MO
25-Jan-08,MO
04-Oct-07,OH
28-Sep-07,GA
02-Feb-07,PA
25-Jun-04,UT
19-Mar-04,NY
12-Mar-04,FL
14-Feb-04,NJ
14-Nov-03,PA
09-May-03,WI
07-Feb-03,CA
17-Dec-02,LA
08-Nov-02,TN
30-Sep-02,GA
27-Jun-02,IL
26-Jun-02,CT
28-Mar-02,MI
01-Mar-02,FL
07-Feb-02,AZ
01-Feb-02,OH
18-Jan-02,TX
11-Jan-02,FL
07-Sep-01,AR
27-Jul-01,IL
03-May-01,OH
02-Feb-01,NH
14-Dec-00,IL
13-Oct-00,HI
